train_size,train_score,test_score
0.1,0.9991963086597742,0.9446658412185391
0.1988888888888889,0.998787196972936,0.9561180826811722
0.2977777777777778,0.9986455714657582,0.961026255429477
0.3966666666666666,0.9984738191106498,0.9643932527790375
0.4955555555555555,0.9985119734618155,0.9672744301938567
0.5944444444444444,0.9981025565893835,0.968693648845301
0.6933333333333332,0.99806688072665,0.969751253788879
0.7922222222222222,0.9979723318975688,0.9721873443264291
0.8911111111111111,0.9978659066766815,0.9737962465375491
0.99,0.9977698251286116,0.974553216146911
